test_mouse,accuracy,balanced_acc,f1_score,recall_avg,precision_avg,recall_MILD,recall_SEV,precision_MILD,precision_SEV,auc,n_test
B3,0.7395833333333334,0.7395833333333334,0.7474747474747475,0.7708333333333334,0.7254901960784313,0.7083333333333334,0.7708333333333334,0.7555555555555555,0.7254901960784313,0.7938368055555555,96
B5,0.78125,0.78125,0.8205128205128205,1.0,0.6956521739130435,0.5625,1.0,1.0,0.6956521739130435,0.9457465277777777,96
C2,0.59375,0.59375,0.417910447761194,0.2916666666666667,0.7368421052631579,0.8958333333333334,0.2916666666666667,0.5584415584415584,0.7368421052631579,0.6453993055555556,96
C4,0.6979166666666666,0.6979166666666667,0.6741573033707865,0.625,0.7317073170731707,0.7708333333333334,0.625,0.6727272727272727,0.7317073170731707,0.7925347222222222,96
